,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
674,5/1/2011,Season 1,Episode 3,Lord Snow,joffrey lannister,"Why should every lord command his own men? It's primitive, no better than the hill tribes. We should have a standing army of men loyal to the Crown, trained by experienced soldiers... Instead of a mob of peasants who've never held pikes in their lives.",House Lannister, why should every lord command his own men it is primitive no better than the hill tribes we should have a standing army of men loyal to the crown trained by experienced soldiers instead of a mob of peasants who have never held pikes in their lives,47,"['why', 'should', 'every', 'lord', 'command', 'his', 'own', 'men', 'it', 'is', 'primitive', 'no', 'better', 'than', 'the', 'hill', 'tribes', 'we', 'should', 'have', 'a', 'standing', 'army', 'of', 'men', 'loyal', 'to', 'the', 'crown', 'trained', 'by', 'experienced', 'soldiers', 'instead', 'of', 'a', 'mob', 'of', 'peasants', 'who', 'have', 'never', 'held', 'pikes', 'in', 'their', 'lives']","['every', 'lord', 'command', 'men', 'primitive', 'better', 'hill', 'tribes', 'standing', 'army', 'men', 'loyal', 'crown', 'trained', 'experienced', 'soldiers', 'instead', 'mob', 'peasants', 'never', 'held', 'pikes', 'lives']","['every', 'lord', 'command', 'men', 'primitive', 'better', 'hill', 'tribe', 'standing', 'army', 'men', 'loyal', 'crown', 'trained', 'experienced', 'soldier', 'instead', 'mob', 'peasant', 'never', 'held', 'pike', 'life']", every lord command men primitive better hill tribe standing army men loyal crown trained experienced soldier instead mob peasant never held pike life,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.7184}",0.7184,0.0005891090355227713,0.0006024405250205086,0.0008865013628304533,0.0003584130572633785
675,5/1/2011,Season 1,Episode 3,Lord Snow,cersei lannister,And if the northerners rebel?,House Lannister, and if the northerners rebel,5,"['and', 'if', 'the', 'northerners', 'rebel']","['northerners', 'rebel']","['northerner', 'rebel']", northerner rebel,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.1531}",-0.1531,0.0,0.0,0.0,0.0
676,5/1/2011,Season 1,Episode 3,Lord Snow,joffrey lannister,"I'd crush them. Seize Winterfell and install someone loyal to the realm as Warden of the North. Uncle Kevan, maybe.",House Lannister, i would crush them seize winterfell and install someone loyal to the realm as warden of the north uncle kevan maybe,21,"['i', 'would', 'crush', 'them', 'seize', 'winterfell', 'and', 'install', 'someone', 'loyal', 'to', 'the', 'realm', 'as', 'warden', 'of', 'the', 'north', 'uncle', 'kevan', 'maybe']","['would', 'crush', 'seize', 'winterfell', 'install', 'someone', 'loyal', 'realm', 'warden', 'north', 'uncle', 'kevan', 'maybe']","['would', 'crush', 'seize', 'winterfell', 'install', 'someone', 'loyal', 'realm', 'warden', 'north', 'uncle', 'kevan', 'maybe']", would crush seize winterfell install someone loyal realm warden north uncle kevan maybe,"{'neg': 0.102, 'neu': 0.701, 'pos': 0.197, 'compound': 0.3612}",0.3612,0.00044541445815331166,0.0006576560232220609,0.00028091202771665343,9.755621676991366e-05
677,5/1/2011,Season 1,Episode 3,Lord Snow,cersei lannister,"And these 10,000 northern troops, would they fight for you or their lord?",House Lannister, and these 10000 northern troops would they fight for you or their lord,13,"['and', 'these', '10000', 'northern', 'troops', 'would', 'they', 'fight', 'for', 'you', 'or', 'their', 'lord']","['10000', 'northern', 'troops', 'would', 'fight', 'lord']","['10000', 'northern', 'troop', 'would', 'fight', 'lord']", 10000 northern troop would fight lord,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.001602007334491411,0.0018016247379454926,0.0008622438628525055,0.0002113718030014796
678,5/1/2011,Season 1,Episode 3,Lord Snow,joffrey lannister,For me. I'm their King.,House Lannister, for me i am their king,6,"['for', 'me', 'i', 'am', 'their', 'king']",['king'],['king'], king,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.003821656050955414,0.004913522012578616,0.002434570906877663,0.0025364616360177552
679,5/1/2011,Season 1,Episode 3,Lord Snow,cersei lannister,"But you've just invaded their homeland, asked them to kill their brothers.",House Lannister, but you have just invaded their homeland asked them to kill their brothers,13,"['but', 'you', 'have', 'just', 'invaded', 'their', 'homeland', 'asked', 'them', 'to', 'kill', 'their', 'brothers']","['invaded', 'homeland', 'asked', 'kill', 'brothers']","['invaded', 'homeland', 'asked', 'kill', 'brother']", invaded homeland asked kill brother,"{'neg': 0.54, 'neu': 0.46, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0.0009264620729588881,0.0008058176100628931,0.0010346926354230066,0.0006341154090044388
680,5/1/2011,Season 1,Episode 3,Lord Snow,joffrey lannister,I'm not asking.,House Lannister, i am not asking,4,"['i', 'am', 'not', 'asking']",['asking'],['asking'], asking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
681,5/1/2011,Season 1,Episode 3,Lord Snow,cersei lannister,"The North cannot be held... not by an outsider. It's too big and too wild. When the winter comes, the Seven gods together couldn't save you and your royal army. A good King knows when to save his strength... And when to destroy his enemies.",House Lannister, the north cannot be held not by an outsider it is too big and too wild when the winter comes the seven gods together could not save you and your royal army a good king knows when to save his strength and when to destroy his enemies,47,"['the', 'north', 'cannot', 'be', 'held', 'not', 'by', 'an', 'outsider', 'it', 'is', 'too', 'big', 'and', 'too', 'wild', 'when', 'the', 'winter', 'comes', 'the', 'seven', 'gods', 'together', 'could', 'not', 'save', 'you', 'and', 'your', 'royal', 'army', 'a', 'good', 'king', 'knows', 'when', 'to', 'save', 'his', 'strength', 'and', 'when', 'to', 'destroy', 'his', 'enemies']","['north', 'cannot', 'held', 'outsider', 'big', 'wild', 'winter', 'comes', 'seven', 'gods', 'together', 'could', 'save', 'royal', 'army', 'good', 'king', 'knows', 'save', 'strength', 'destroy', 'enemies']","['north', 'cannot', 'held', 'outsider', 'big', 'wild', 'winter', 'come', 'seven', 'god', 'together', 'could', 'save', 'royal', 'army', 'good', 'king', 'know', 'save', 'strength', 'destroy', 'enemy']", north cannot held outsider big wild winter come seven god together could save royal army good king know save strength destroy enemy,"{'neg': 0.191, 'neu': 0.41, 'pos': 0.399, 'compound': 0.765}",0.765,0.0006316786861083329,0.0008710334476843911,0.0008576329331046312,0.0006052919813224189
682,5/1/2011,Season 1,Episode 3,Lord Snow,joffrey lannister,So you agree... The Starks are enemies?,House Lannister, so you agree the starks are enemies,7,"['so', 'you', 'agree', 'the', 'starks', 'are', 'enemies']","['agree', 'starks', 'enemies']","['agree', 'starks', 'enemy']", agree starks enemy,"{'neg': 0.5, 'neu': 0.143, 'pos': 0.357, 'compound': -0.25}",-0.25,0.0003860258637328701,0.0,0.0,0.0
683,5/1/2011,Season 1,Episode 3,Lord Snow,cersei lannister,Everyone who isn't us is an enemy.,House Lannister, everyone who is not us is an enemy,8,"['everyone', 'who', 'is', 'not', 'us', 'is', 'an', 'enemy']","['everyone', 'us', 'enemy']","['everyone', 'u', 'enemy']", everyone u enemy,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0,0.0,0.0,0.0
684,5/1/2011,Season 1,Episode 3,Lord Snow,mordane,"Enough of that, young lady. Eat your food.",House Stark, enough of that young lady eat your food,8,"['enough', 'of', 'that', 'young', 'lady', 'eat', 'your', 'food']","['enough', 'young', 'lady', 'eat', 'food']","['enough', 'young', 'lady', 'eat', 'food']", enough young lady eat food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005327156919513607,0.0004913522012578617,0.00024345709068776628,0.0008877615726062143
685,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,I'm practicing.,House Stark, i am practicing,3,"['i', 'am', 'practicing']",['practicing'],['practicing'], practicing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
686,5/1/2011,Season 1,Episode 3,Lord Snow,sansa stark,Practicing for what?,House Stark, practicing for what,3,"['practicing', 'for', 'what']",['practicing'],['practicing'], practicing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
687,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,The Prince.,House Stark, the prince,2,"['the', 'prince']",['prince'],['prince'], prince,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0011792452830188679,0.0,0.0
688,5/1/2011,Season 1,Episode 3,Lord Snow,mordane,"Arya, stop!",House Stark, arya stop,2,"['arya', 'stop']","['arya', 'stop']","['arya', 'stop']", arya stop,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.0016214622641509435,0.0010651247717589774,0.0
689,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,He's a liar and a coward and he killed my friend.,House Stark, he is a liar and a coward and he killed my friend,12,"['he', 'is', 'a', 'liar', 'and', 'a', 'coward', 'and', 'he', 'killed', 'my', 'friend']","['liar', 'coward', 'killed', 'friend']","['liar', 'coward', 'killed', 'friend']", liar coward killed friend,"{'neg': 0.771, 'neu': 0.0, 'pos': 0.229, 'compound': -0.8225}",-0.8225,0.0,0.000614190251572327,0.0,0.0
690,5/1/2011,Season 1,Episode 3,Lord Snow,sansa stark,The Hound killed your friend.,House Stark, the hound killed your friend,5,"['the', 'hound', 'killed', 'your', 'friend']","['hound', 'killed', 'friend']","['hound', 'killed', 'friend']", hound killed friend,"{'neg': 0.517, 'neu': 0.115, 'pos': 0.368, 'compound': -0.3182}",-0.3182,0.0,0.0003930817610062893,0.0,0.0
691,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,The Hound does whatever the Prince tells him to do.,House Stark, the hound does whatever the prince tells him to do,10,"['the', 'hound', 'does', 'whatever', 'the', 'prince', 'tells', 'him', 'to', 'do']","['hound', 'whatever', 'prince', 'tells']","['hound', 'whatever', 'prince', 'tell']", hound whatever prince tell,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00043427909669947886,0.000884433962264151,0.0010651247717589774,0.0003170577045022194
692,5/1/2011,Season 1,Episode 3,Lord Snow,sansa stark,You're an idiot.,House Stark, you are an idiot,4,"['you', 'are', 'an', 'idiot']",['idiot'],['idiot'], idiot,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.0,0.0,0.0
693,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,"You're a liar. And if you told the truth, Mycah would be alive.",House Stark, you are a liar and if you told the truth mycah would be alive,14,"['you', 'are', 'a', 'liar', 'and', 'if', 'you', 'told', 'the', 'truth', 'mycah', 'would', 'be', 'alive']","['liar', 'told', 'truth', 'mycah', 'would', 'alive']","['liar', 'told', 'truth', 'mycah', 'would', 'alive']", liar told truth mycah would alive,"{'neg': 0.295, 'neu': 0.268, 'pos': 0.438, 'compound': 0.1531}",0.1531,0.0009650646593321752,0.0013430293501048218,0.0006086427267194157,0.0004227436060029592
694,5/1/2011,Season 1,Episode 3,Lord Snow,mordane,Enough!,House Stark, enough,1,['enough'],['enough'],['enough'], enough,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0009827044025157233,0.0012172854534388314,0.0031705770450221942
695,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,What's happening here?,House Stark, what is happening here,4,"['what', 'is', 'happening', 'here']",['happening'],['happening'], happening,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
696,5/1/2011,Season 1,Episode 3,Lord Snow,mordane,Arya would rather act like a beast than a lady.,House Stark, arya would rather act like a beast than a lady,10,"['arya', 'would', 'rather', 'act', 'like', 'a', 'beast', 'than', 'a', 'lady']","['arya', 'would', 'rather', 'act', 'like', 'beast', 'lady']","['arya', 'would', 'rather', 'act', 'like', 'beast', 'lady']", arya would rather act like beast lady,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612,0.0015716767309123998,0.0016565588499550762,0.0010433875315189983,0.00036235166228825073
697,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,"Go to your room. We'll speak later. That's for you, love…",House Stark, go to your room we will speak later that is for you love…,13,"['go', 'to', 'your', 'room', 'we', 'will', 'speak', 'later', 'that', 'is', 'for', 'you', 'love']","['go', 'room', 'speak', 'later', 'love']","['go', 'room', 'speak', 'later', 'love']", go room speak later love,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,0.0005558772437753329,0.0007272012578616353,0.0007912355447352405,0.000507292327203551
698,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,The same dollmaker makes all of Princess Myrcella's toys. Don't you like it?,House Stark, the same dollmaker makes all of princess myrcellas toys do not you like it,14,"['the', 'same', 'dollmaker', 'makes', 'all', 'of', 'princess', 'myrcellas', 'toys', 'do', 'not', 'you', 'like', 'it']","['dollmaker', 'makes', 'princess', 'myrcellas', 'toys', 'like']","['dollmaker', 'make', 'princess', 'myrcellas', 'toy', 'like']", dollmaker make princess myrcellas toy like,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,0.0007141478479058097,0.0006223794549266247,0.0012172854534388314,0.0005284295075036991
699,5/1/2011,Season 1,Episode 3,Lord Snow,sansa stark,I haven't played with dolls since I was eight. May I be excused?,House Stark, i have not played with dolls since i was eight may i be excused,14,"['i', 'have', 'not', 'played', 'with', 'dolls', 'since', 'i', 'was', 'eight', 'may', 'i', 'be', 'excused']","['played', 'dolls', 'since', 'eight', 'may', 'excused']","['played', 'doll', 'since', 'eight', 'may', 'excused']", played doll since eight may excused,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}",0.34,0.0,0.0,0.0,0.0
700,5/1/2011,Season 1,Episode 3,Lord Snow,mordane,You've barely eaten a thing.,House Stark, you have barely eaten a thing,6,"['you', 'have', 'barely', 'eaten', 'a', 'thing']","['barely', 'eaten', 'thing']","['barely', 'eaten', 'thing']", barely eaten thing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00042462845010615707,0.0003275681341719078,0.0,0.0004227436060029592
701,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,It's all right. Go on.,House Stark, it is all right go on,6,"['it', 'is', 'all', 'right', 'go', 'on']","['right', 'go']","['right', 'go']", right go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.001679212507237985,0.0027515723270440254,0.0009129640900791236,0.0025364616360177552
702,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,War was easier than daughters.,House Stark, war was easier than daughters,5,"['war', 'was', 'easier', 'than', 'daughters']","['war', 'easier', 'daughters']","['war', 'easier', 'daughter']", war easier daughter,"{'neg': 0.506, 'neu': 0.13, 'pos': 0.364, 'compound': -0.2732}",-0.2732,0.0,0.0,0.0,0.0004227436060029592
703,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,Go away!,House Stark, go away,2,"['go', 'away']","['go', 'away']","['go', 'away']", go away,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0014475969889982628,0.0022602201257861635,0.0016737674984783932,0.0012682308180088776
704,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,"Arya, open the door. May I come in? Whose sword is that?",House Stark, arya open the door may i come in whose sword is that,12,"['arya', 'open', 'the', 'door', 'may', 'i', 'come', 'in', 'whose', 'sword', 'is', 'that']","['arya', 'open', 'door', 'may', 'come', 'whose', 'sword']","['arya', 'open', 'door', 'may', 'come', 'whose', 'sword']", arya open door may come whose sword,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003308793117710315,0.000814240790655885,0.0003912703243196244,0.0011776429024368147
705,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,Mine.,House Stark, mine,1,['mine'],['mine'],['mine'], mine,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
706,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,Give it to me. I know this maker's mark. This is Mikken's work. Where did you get this? This is no toy. Little ladies shouldn't play with swords.,House Stark, give it to me i know this makers mark this is mikkens work where did you get this this is no toy little ladies should not play with swords,29,"['give', 'it', 'to', 'me', 'i', 'know', 'this', 'makers', 'mark', 'this', 'is', 'mikkens', 'work', 'where', 'did', 'you', 'get', 'this', 'this', 'is', 'no', 'toy', 'little', 'ladies', 'should', 'not', 'play', 'with', 'swords']","['give', 'know', 'makers', 'mark', 'mikkens', 'work', 'get', 'toy', 'little', 'ladies', 'play', 'swords']","['give', 'know', 'maker', 'mark', 'mikkens', 'work', 'get', 'toy', 'little', 'lady', 'play', 'sword']", give know maker mark mikkens work get toy little lady play sword,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.2782}",0.2782,0.0008878594865856012,0.0009253799790356394,0.00035504159058632583,0.000581272458254069
707,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,I wasn't playing. And I don't want to be a lady.,House Stark, i was not playing and i do not want to be a lady,13,"['i', 'was', 'not', 'playing', 'and', 'i', 'do', 'not', 'want', 'to', 'be', 'a', 'lady']","['playing', 'want', 'lady']","['playing', 'want', 'lady']", playing want lady,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.2732}",0.2732,0.0015827060413047672,0.0019981656184486375,0.0018259281801582471,0.0012682308180088776
708,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,Come here. Now what do you want with this?,House Stark, come here now what do you want with this,9,"['come', 'here', 'now', 'what', 'do', 'you', 'want', 'with', 'this']","['come', 'want']","['come', 'want']", come want,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772,0.0016213086276780542,0.003537735849056604,0.0041083384053560565,0.0031705770450221942
709,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,It's called Needle.,House Stark, it is called needle,4,"['it', 'is', 'called', 'needle']","['called', 'needle']","['called', 'needle']", called needle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
710,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,A blade with a name. And who were you hoping to skewer with Needle? Your sister? Do you know the first thing about sword fighting?,House Stark, a blade with a name and who were you hoping to skewer with needle your sister do you know the first thing about sword fighting,25,"['a', 'blade', 'with', 'a', 'name', 'and', 'who', 'were', 'you', 'hoping', 'to', 'skewer', 'with', 'needle', 'your', 'sister', 'do', 'you', 'know', 'the', 'first', 'thing', 'about', 'sword', 'fighting']","['blade', 'name', 'hoping', 'skewer', 'needle', 'sister', 'know', 'first', 'thing', 'sword', 'fighting']","['blade', 'name', 'hoping', 'skewer', 'needle', 'sister', 'know', 'first', 'thing', 'sword', 'fighting']", blade name hoping skewer needle sister know first thing sword fighting,"{'neg': 0.175, 'neu': 0.629, 'pos': 0.196, 'compound': 0.0772}",0.0772,0.0007053745328209717,0.0010184391080617495,0.000636308305206662,0.0006341154090044389
711,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,Stick 'em with the pointy end.,House Stark, stick em with the pointy end,6,"['stick', 'em', 'with', 'the', 'pointy', 'end']","['stick', 'em', 'pointy', 'end']","['stick', 'em', 'pointy', 'end']", stick em pointy end,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
712,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,laughs] That's the essence of it.,House Stark, laughs that is the essence of it,7,"['laughs', 'that', 'is', 'the', 'essence', 'of', 'it']","['laughs', 'essence']","['laugh', 'essence']", laugh essence,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.5574}",0.5574,0.0,0.0,0.0,0.0
713,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.,House Stark, i was trying to learn i asked mycah to practice with me i asked him it was my fault,19,"['i', 'was', 'trying', 'to', 'learn', 'i', 'asked', 'mycah', 'to', 'practice', 'with', 'me', 'i', 'asked', 'him', 'it', 'was', 'my', 'fault']","['trying', 'learn', 'asked', 'mycah', 'practice', 'asked', 'fault']","['trying', 'learn', 'asked', 'mycah', 'practice', 'asked', 'fault']", trying learn asked mycah practice asked fault,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}",-0.4019,0.0,0.0,0.0,0.0
714,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,"No, sweet girl. You didn't kill the butcher's boy.",House Stark, no sweet girl you did not kill the butchers boy,10,"['no', 'sweet', 'girl', 'you', 'did', 'not', 'kill', 'the', 'butchers', 'boy']","['sweet', 'girl', 'kill', 'butchers', 'boy']","['sweet', 'girl', 'kill', 'butcher', 'boy']", sweet girl kill butcher boy,"{'neg': 0.439, 'neu': 0.28, 'pos': 0.28, 'compound': -0.4019}",-0.4019,0.0011117544875506658,0.0010613207547169813,0.0006086427267194157,0.001014584654407102
715,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa.",House Stark, i hate them i hate all of them the hound the queen and the king and joffrey and sansa,19,"['i', 'hate', 'them', 'i', 'hate', 'all', 'of', 'them', 'the', 'hound', 'the', 'queen', 'and', 'the', 'king', 'and', 'joffrey', 'and', 'sansa']","['hate', 'hate', 'hound', 'queen', 'king', 'joffrey', 'sansa']","['hate', 'hate', 'hound', 'queen', 'king', 'joffrey', 'sansa']", hate hate hound queen king joffrey sansa,"{'neg': 0.597, 'neu': 0.403, 'pos': 0.0, 'compound': -0.8126}",-0.8126,0.000545950864422202,0.0011652066486972147,0.0005216937657594992,0.0007247033245765015
716,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,Sansa was dragged before the King and Queen... And asked to call the Prince a liar.,House Stark, sansa was dragged before the king and queen and asked to call the prince a liar,16,"['sansa', 'was', 'dragged', 'before', 'the', 'king', 'and', 'queen', 'and', 'asked', 'to', 'call', 'the', 'prince', 'a', 'liar']","['sansa', 'dragged', 'king', 'queen', 'asked', 'call', 'prince', 'liar']","['sansa', 'dragged', 'king', 'queen', 'asked', 'call', 'prince', 'liar']", sansa dragged king queen asked call prince liar,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.00047770700636942675,0.001203812893081761,0.0004564820450395618,0.0006341154090044388
717,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,So was I! He is a liar.,House Stark, so was i he is a liar,7,"['so', 'was', 'i', 'he', 'is', 'a', 'liar']",['liar'],['liar'], liar,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.0,0.0012775157232704402,0.0,0.0
718,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,"Darling, listen to me. Sansa will be married to Joffrey someday. She cannot betray him. She must take his side even when he's wrong.",House Stark, darling listen to me sansa will be married to joffrey someday she cannot betray him she must take his side even when he is wrong,25,"['darling', 'listen', 'to', 'me', 'sansa', 'will', 'be', 'married', 'to', 'joffrey', 'someday', 'she', 'cannot', 'betray', 'him', 'she', 'must', 'take', 'his', 'side', 'even', 'when', 'he', 'is', 'wrong']","['darling', 'listen', 'sansa', 'married', 'joffrey', 'someday', 'cannot', 'betray', 'must', 'take', 'side', 'even', 'wrong']","['darling', 'listen', 'sansa', 'married', 'joffrey', 'someday', 'cannot', 'betray', 'must', 'take', 'side', 'even', 'wrong']", darling listen sansa married joffrey someday cannot betray must take side even wrong,"{'neg': 0.153, 'neu': 0.493, 'pos': 0.354, 'compound': 0.6209}",0.6209,0.0003474232773595831,0.0005367077890662795,0.0006554613980055246,0.000292668650309741
719,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,But how you can let her marry someone like that?,House Stark, but how you can let her marry someone like that,10,"['but', 'how', 'you', 'can', 'let', 'her', 'marry', 'someone', 'like', 'that']","['let', 'marry', 'someone', 'like']","['let', 'marry', 'someone', 'like']", let marry someone like,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,0.0012449334105385061,0.0011301100628930817,0.0009129640900791236,0.0003170577045022194
720,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,Well… Look at me. You're a Stark of Winterfell. You know our words.,House Stark, well… look at me you are a stark of winterfell you know our words,14,"['well', 'look', 'at', 'me', 'you', 'are', 'a', 'stark', 'of', 'winterfell', 'you', 'know', 'our', 'words']","['well', 'look', 'stark', 'winterfell', 'know', 'words']","['well', 'look', 'stark', 'winterfell', 'know', 'word']", well look stark winterfell know word,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.2732}",0.2732,0.0015827060413047675,0.0017852463312368974,0.0009129640900791235,0.0009511731135066582
721,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,Winter is coming.,House Stark, winter is coming,3,"['winter', 'is', 'coming']","['winter', 'coming']","['winter', 'coming']", winter coming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0006387578616352201,0.0,0.0
722,5/1/2011,Season 1,Episode 3,Lord Snow,eddard stark,"You were born in the long summer. You've never known anything else. But now winter is truly coming. And in the winter, we must protect ourselves, look after one another. Sansa is your sister.",House Stark, you were born in the long summer you have never known anything else but now winter is truly coming and in the winter we must protect ourselves look after one another sansa is your sister,35,"['you', 'were', 'born', 'in', 'the', 'long', 'summer', 'you', 'have', 'never', 'known', 'anything', 'else', 'but', 'now', 'winter', 'is', 'truly', 'coming', 'and', 'in', 'the', 'winter', 'we', 'must', 'protect', 'ourselves', 'look', 'after', 'one', 'another', 'sansa', 'is', 'your', 'sister']","['born', 'long', 'summer', 'never', 'known', 'anything', 'else', 'winter', 'truly', 'coming', 'winter', 'must', 'protect', 'look', 'one', 'another', 'sansa', 'sister']","['born', 'long', 'summer', 'never', 'known', 'anything', 'else', 'winter', 'truly', 'coming', 'winter', 'must', 'protect', 'look', 'one', 'another', 'sansa', 'sister']", born long summer never known anything else winter truly coming winter must protect look one another sansa sister,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.6705}",0.6705,0.0005983400887859487,0.0006114605171208945,0.0007269899235815242,0.00035228633833579937
723,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,I don't hate her. Not really.,House Stark, i do not hate her not really,7,"['i', 'do', 'not', 'hate', 'her', 'not', 'really']","['hate', 'really']","['hate', 'really']", hate really,"{'neg': 0.787, 'neu': 0.213, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.0,0.0,0.0
